CustomerId,Geography,Gender,Age,Balance,Z_Score_Balance,High_Value_Outlier,Probabilite_Churn,Prediction_Seuil_0.35,Cluster_ID,Persona_Name
15588614,France,Male,57,0.0,-1.2259821801846251,0,0.96,1,2,Les Clients Premium à Risque
15641158,Germany,Male,32,102128.27,0.41326185919683023,0,0.7,1,2,Les Clients Premium à Risque
15750014,Germany,Female,37,113865.23,0.6016498708654755,0,0.12,0,0,Les Clients Fragiles
15663964,France,Male,37,0.0,-1.2259821801846251,0,0.0,0,1,Les Clients Courants
15573520,Germany,Male,49,110540.43,0.5482840537206686,0,0.18,0,0,Les Clients Fragiles
15645045,France,Female,38,0.0,-1.2259821801846251,0,0.0,0,1,Les Clients Courants
15617052,France,Male,34,0.0,-1.2259821801846251,0,0.7,1,2,Les Clients Premium à Risque
15716835,France,Male,24,156325.38,1.2831707445544405,0,0.0,0,0,Les Clients Fragiles
15763612,Germany,Male,41,124439.49,0.7713755763520147,0,0.01,0,0,Les Clients Fragiles
15705113,Spain,Male,34,83264.28,0.11047906294999879,0,0.1,0,2,Les Clients Premium à Risque
15649150,France,Female,53,127642.44,0.8227855992177386,0,0.97,1,2,Les Clients Premium à Risque
15670552,France,Female,31,115141.18,0.6221299341432414,0,0.03,0,2,Les Clients Premium à Risque
15752488,Spain,Female,31,102289.85,0.41585535316165756,0,0.02,0,0,Les Clients Fragiles
15740602,Germany,Female,27,111568.01,0.564777571039503,0,0.07,0,0,Les Clients Fragiles
15621140,Spain,Male,37,0.0,-1.2259821801846251,0,0.0,0,1,Les Clients Courants
15793324,Spain,Male,32,0.0,-1.2259821801846251,0,0.08,0,1,Les Clients Courants
15810716,Germany,Male,42,151836.36,1.2111182239578988,0,0.08,0,2,Les Clients Premium à Risque
15729689,Germany,Male,35,98585.94,0.35640450385318134,0,0.0,0,0,Les Clients Fragiles
15768474,Spain,Male,34,0.0,-1.2259821801846251,0,0.01,0,1,Les Clients Courants
15773723,Spain,Female,22,67178.19,-0.14771611796762202,0,0.69,1,0,Les Clients Fragiles
15690898,France,Male,44,161889.79,1.3724841729046373,0,0.1,0,2,Les Clients Premium à Risque
